Empresa,Regional,Ano,Mes,Chuva,Raio(NS)
E1,,2021,1,165,2333
E1,,2021,2,349,7761
E1,,2021,3,272,4547
E1,,2021,4,158,4540
E1,,2021,5,54,597
E1,,2021,6,16,742
E1,,2021,7,13,645
E1,,2021,8,13,4190
E1,,2021,9,49,17247
E1,,2021,10,125,16954
E1,,2021,11,230,9437
E1,,2021,12,374,33804
E1,,2021,1,276,22033
E1,,2021,2,356,75387
E1,,2021,3,447,26546
E1,,2021,4,138,13156
E1,,2021,5,95,15004
E1,,2021,6,63,7450
E1,,2021,7,30,9785
E1,,2021,8,39,33210
E1,,2021,9,131,63551
E1,,2021,10,115,109196
E1,,2021,11,239,71824
E1,,2021,12,204,75525
E1,,2021,1,202,13078
E1,,2021,2,368,41332
E1,,2021,3,267,17746
E1,,2021,4,169,18389
E1,,2021,5,55,5989
E1,,2021,6,25,6446
E1,,2021,7,18,3316
E1,,2021,8,4,13542
E1,,2021,9,58,65673
E1,,2021,10,134,73869
E1,,2021,11,182,51900
E1,,2021,12,281,89368
E2,,2021,1,196,1807
E2,,2021,2,223,3024
E2,,2021,3,137,4353
E2,,2021,4,78,1261
E2,,2021,5,2,11
E2,,2021,6,19,0
E2,,2021,7,0,0
E2,,2021,8,31,187
E2,,2021,9,32,285
E2,,2021,10,274,1746
E2,,2021,11,174,537
E2,,2021,12,293,919
E2,,2021,1,202,7093
E2,,2021,2,266,8492
E2,,2021,3,100,11915
E2,,2021,4,72,2504
E2,,2021,5,10,952
E2,,2021,6,25,15
E2,,2021,7,1,0
E2,,2021,8,34,371
E2,,2021,9,45,3127
E2,,2021,10,282,6616
E2,,2021,11,173,3637
E2,,2021,12,322,8613
E2,,2021,1,129,1860
E2,,2021,2,366,1821
E2,,2021,3,110,1735
E2,,2021,4,39,559
E2,,2021,5,9,0
E2,,2021,6,19,1
E2,,2021,7,0,0
E2,,2021,8,6,0
E2,,2021,9,16,304
E2,,2021,10,171,769
E2,,2021,11,233,683
E2,,2021,12,163,1988
E2,,2021,1,142,4925
E2,,2021,2,224,2455
E2,,2021,3,93,2958
E2,,2021,4,56,1172
E2,,2021,5,3,107
E2,,2021,6,13,0
E2,,2021,7,0,0
E2,,2021,8,10,185
E2,,2021,9,18,45
E2,,2021,10,200,3805
E2,,2021,11,198,643
E2,,2021,12,220,2374
E2,,2021,1,116,1174
E2,,2021,2,281,1382
E2,,2021,3,126,2890
E2,,2021,4,104,22
E2,,2021,5,94,218
E2,,2021,6,36,0
E2,,2021,7,20,0
E2,,2021,8,53,143
E2,,2021,9,55,173
E2,,2021,10,227,664
E2,,2021,11,158,15
E2,,2021,12,224,1560
E2,,2021,1,143,2151
E2,,2021,2,150,4146
E2,,2021,3,135,6205
E2,,2021,4,53,2855
E2,,2021,5,2,76
E2,,2021,6,21,5
E2,,2021,7,1,0
E2,,2021,8,21,127
E2,,2021,9,17,476
E2,,2021,10,243,4306
E2,,2021,11,217,1437
E2,,2021,12,240,2209
E8,,2021,1,183,185474
E8,,2021,2,104,120854
E8,,2021,3,120,56613
E8,,2021,4,18,18467
E8,,2021,5,38,38267
E8,,2021,6,24,5098
E8,,2021,7,1,26
E8,,2021,8,11,9813
E8,,2021,9,44,47034
E8,,2021,10,174,222904
E8,,2021,11,177,170228
E8,,2021,12,221,141981
E8,,2021,1,162,170093
E8,,2021,2,62,191171
E8,,2021,3,69,109975
E8,,2021,4,32,65114
E8,,2021,5,20,33333
E8,,2021,6,31,54348
E8,,2021,7,2,95
E8,,2021,8,18,44755
E8,,2021,9,24,55035
E8,,2021,10,100,206845
E8,,2021,11,95,367759
E8,,2021,12,164,348700
E8,,2021,1,189,98069
E8,,2021,2,77,77968
E8,,2021,3,91,46351
E8,,2021,4,14,8669
E8,,2021,5,19,44807
E8,,2021,6,37,45991
E8,,2021,7,25,2039
E8,,2021,8,29,15242
E8,,2021,9,31,36592
E8,,2021,10,319,177946
E8,,2021,11,68,103694
E8,,2021,12,55,30952
E9,,2021,1,177,319536
E9,,2021,2,313,136079
